word,grade,set (week),definition,sentence
scale,2,25,a system used to measure or compare the size or amount of something,Scientists use a scale to describe earthquake strength.
plane,2,25,an airplane,The plane flew above the clouds.
drink,2,26,to take liquid into the mouth and swallow it,Drink water after exercising.
think,2,26,to use your mind to form ideas or make decisions,Think carefully before you answer.
sink,2,26,a basin with running water used for washing,Wash your hands in the sink.
stink,2,26,to have a very bad smell,Old garbage can stink.
wink,2,26,to quickly close and open one eye,She gave me a wink.
thank,2,26,to tell someone you are grateful,Remember to thank your helper.
bank,2,26,a place that keeps and manages money,My family keeps savings in a bank.
drank,2,26,took liquid into the mouth and swallowed it; past form of drink,He drank a glass of water.
honk,2,26,a loud sound made by a horn or by a goose,The car horn gave a honk.
blank,2,26,empty or not filled in,Write your name on the blank line.
shrink,2,26,to become smaller,Some clothes can shrink in hot water.
gone,2,26,no longer here or moved away; a form of go,The rain was gone by noon.
lava,2,26,hot melted rock that comes from a volcano,The lava cooled into solid rock.
volcano,2,26,"an opening in Earth's crust where lava, ash, and gases can come out",The volcano released ash into the air.
root,2,26,the part of a plant that usually grows underground and takes in water,The root holds the plant in the soil.
meet,2,26,to come together with someone,We will meet at the library.
soft,2,27,"easy to press, bend, or touch gently",The pillow feels soft.
lift,2,27,to raise something to a higher position,Lift the box with both hands.
shift,2,27,to move or change position,Shift the chair a little to the left.
drift,2,27,to move slowly without a clear direction,The leaf began to drift across the pond.
gift,2,27,something given to someone without payment,She opened a birthday gift.
left,2,27,went away from a place; past form of leave,We left the park before dark.
raft,2,27,a flat floating platform or simple boat,They paddled the raft across the calm water.
craft,2,27,an activity that involves making something by hand,We made a paper craft in class.
loft,2,27,an upper room or space directly under a roof,The boxes were stored in the loft.
swift,2,27,moving very quickly,The swift bird flew across the sky.
sift,2,27,to separate fine and coarse pieces by shaking them through a screen,We sift the flour before baking.
apart,2,27,separated by a distance or space,Place the chairs two feet apart.
form,2,27,the shape or structure of something,The clouds began to form a line.
ride,2,27,"to travel on or in something such as a bike, horse, or vehicle",I ride my bike after school.
greater,2,27,larger or more than something else,Seven is greater than five.
equal,2,27,"the same in amount, size, or value",Two plus two is equal to four.
bolt,2,28,"a metal pin used to fasten things, or a sudden flash of lightning",The bolt held the pieces together.
jolt,2,28,a sudden strong shake or bump,The bus gave us a small jolt.
colt,2,28,a young male horse,The colt stayed close to its mother.
felt,2,28,a thick cloth made by pressing fibers together,We cut a star from red felt.
belt,2,28,a strip worn around the waist or used to move parts of a machine,He tightened his belt.
welt,2,28,a raised mark on the skin caused by a hit or irritation,The bug bite left a small welt.
built,2,28,made or constructed; past form of build,We built a tower from blocks.
stilt,2,28,"a tall support, or one of a pair of poles used to walk above the ground",The house stood on a stilt above the water.
wilt,2,28,to droop because of heat or lack of water,Flowers may wilt without water.
melt,2,28,to change from a solid into a liquid because of heat,Ice will melt in the sun.
salt,2,28,a white mineral used to flavor and preserve food,I sprinkled a little salt on the corn.
face,2,28,"the front part of the head with the eyes, nose, and mouth",She washed her face.
edge,2,28,the outside boundary of something,Do not stand too close to the edge.
lay,2,28,to place something down,Lay the paper flat on the desk.
arms,2,28,the two upper limbs from the shoulders to the hands,He carried the box in his arms.
sound,2,28,something that can be heard,We heard the sound of a bell.
whale,2,29,a very large sea mammal that breathes air,The whale came to the surface to breathe.
when,2,29,at what time or at the time that,When will the game begin?
where,2,29,in or at what place,Where did you put the pencil?
what,2,29,used to ask about a thing or information,What is your favorite book?
why,2,29,for what reason,Why is the sky blue?
which,2,29,used to ask about one or more choices,Which color do you want?
whistle,2,29,to make a high clear sound by blowing air through the lips or a whistle,She can whistle a short tune.
whip,2,29,"to move something quickly with a snapping motion, or a tool with a flexible lash",The wind can whip the flag back and forth.
white,2,29,"the lightest color, like fresh snow",The clouds were bright white.
while,2,29,"a period of time, or during the time that something happens",We read while we waited.
whirl,2,29,to spin around quickly,The leaves whirl in the wind.
sun,2,29,the star at the center of our solar system,The sun gives Earth light and heat.
woman,2,29,an adult female person,The woman carried a basket.
seasons,2,29,"the four main parts of the year: spring, summer, fall, and winter",The seasons change through the year.
knew,2,29,understood or was aware of something; past form of know,I knew the answer.
himself,2,29,that same boy or man,He tied his shoes by himself.
badly,2,30,in a poor or unsuccessful way,The broken wheel turned badly.
madly,2,30,"in a wild, excited, or very intense way",The flag flapped madly in the strong wind.
quickly,2,30,at a fast speed,She quickly tied her shoes.
weekly,2,30,once every week or each week,We have a weekly spelling test.
daily,2,30,every day,I brush my teeth daily.
sadly,2,30,in a sad way,He sadly waved goodbye.
gladly,2,30,happily and willingly,I gladly helped clean the room.
proudly,2,30,in a way that shows pride,She proudly displayed her drawing.
softly,2,30,in a quiet or gentle way,The teacher spoke softly.
loudly,2,30,with a lot of sound,The crowd cheered loudly.
bravely,2,30,in a courageous way,She bravely tried the new activity.
care,2,30,attention and help given to keep someone or something safe and well,The puppy needs daily care.
hill,2,30,an area of land that rises above the land around it,We walked up the hill.
case,2,30,a container or covering that protects or holds something,The glasses are in their case.
simple,2,30,easy to understand or having few parts,The directions were simple.
echo,2,30,a sound heard again after it bounces off a surface,We heard an echo in the cave.
painter,2,31,a person who paints pictures or surfaces,The painter covered the wall with blue paint.
washer,2,31,a machine for washing clothes or dishes,The washer cleaned the clothes.
dryer,2,31,a machine that dries clothes or other things,The dryer made the towels warm and dry.
flyer,2,31,a small printed paper used to share information or advertise something,We read a flyer about the school fair.
picture,2,31,"an image, drawing, or photograph",She drew a picture of her dog.
workers,2,31,people who do jobs or work,The workers repaired the road.
singer,2,31,a person who sings,The singer performed a new song.
teacher,2,31,a person who helps students learn,Our teacher read the story aloud.
speaker,2,31,"a person who speaks, or a device that makes sound",The speaker talked to the class.
thinker,2,31,a person who thinks carefully about ideas or problems,A good thinker asks useful questions.
dreamer,2,31,a person who dreams or imagines possibilities,The young dreamer imagined traveling to space.
tall,2,31,having more height than usual,The tall tree reached above the roof.
lead,2,31,to guide or be in front,The captain will lead the team.
problem,2,31,a question or difficulty that needs a solution,We solved the math problem.
age,2,31,the number of years someone or something has existed,Her age is eight years.
apple,2,31,"a round fruit with crisp flesh and red, green, or yellow skin",I ate an apple for a snack.
fastest,2,32,moving more quickly than all the others,The cheetah was the fastest animal in the race.
slowest,2,32,moving less quickly than all the others,The turtle was the slowest racer.
biggest,2,32,larger than all the others,That is the biggest pumpkin in the patch.
shortest,2,32,having the least length or height,This is the shortest pencil.
loudest,2,32,making more sound than all the others,The drum was the loudest instrument.
softest,2,32,most soft or easiest to press or touch gently,This blanket is the softest one.
smartest,2,32,showing the most skill at thinking or learning,She found the smartest way to solve the puzzle.
silliest,2,32,more foolish or funny than all the others,That was the silliest joke.
brightest,2,32,giving off or reflecting the most light,Venus can be one of the brightest objects in the night sky.
funniest,2,32,causing the most laughter,That was the funniest part of the movie.
bravest,2,32,showing the most courage,The bravest character helped the others.
act,2,32,to do something or behave in a certain way,Please act kindly toward others.
discussion,2,32,a conversation in which people share ideas about a topic,We had a class discussion about the story.
attention,2,32,careful focus on something,Please give your attention to the directions.
select,2,32,to choose something from a group,Select one book to read.
tone,2,32,the quality or feeling of a voice or sound,Her friendly tone made us feel welcome.
thankful,2,33,feeling pleased and grateful for something,I am thankful for my family.
ears,2,33,the body parts used for hearing,We use our ears to hear sounds.
hopeful,2,33,feeling that something good is likely to happen,We felt hopeful about the game.
grateful,2,33,feeling thankful,She was grateful for the help.
thoughtful,2,33,showing care for other people or careful thinking,It was thoughtful of him to share.
useful,2,33,helpful for a purpose,A flashlight is useful in the dark.
forgetful,2,33,often forgetting things,A forgetful person may need reminders.
painful,2,33,causing pain or hurting,The scraped knee was painful.
joyful,2,33,very happy,The children were joyful at the celebration.
careful,2,33,paying close attention to avoid mistakes or danger,Be careful when crossing the street.
helpful,2,33,giving help or making something easier,The directions were helpful.
prediction,2,33,a statement about what you think will happen,My prediction is that it will rain.
question,2,33,something asked to get information,She raised her hand to ask a question.
method,2,33,a way of doing something,We tried a new method for solving the problem.
observe,2,33,to watch or notice carefully,We observe the plant each day.
outcome,2,33,the result of an action or event,The experiment had an unexpected outcome.
happiness,2,34,the feeling or state of being happy,Playing with friends brought her happiness.
darkness,2,34,the absence of light,The flashlight helped us see in the darkness.
likeness,2,34,a similarity between people or things,I noticed a likeness between the two drawings.
kindness,2,34,"the quality of being friendly, caring, and helpful",Her kindness made the new student feel welcome.
sickness,2,34,the state of being ill,He stayed home because of sickness.
helpfulness,2,34,the quality of being useful or willing to help,Her helpfulness made the project easier.
goodness,2,34,"the quality of being good, kind, or right",The story showed the goodness of helping others.
brightness,2,34,the amount of light something gives off or reflects,We adjusted the screen brightness.
seeds,2,34,the parts of plants that can grow into new plants,We planted seeds in the garden.
bones,2,34,the hard parts inside the body that support it,Bones help support our bodies.
cows,2,34,more than one cow,The cows grazed in the field.
pentagon,2,34,a shape with five sides and five angles,We drew a pentagon.
hexagon,2,34,a shape with six sides and six angles,A honeycomb cell often looks like a hexagon.
power,2,34,the ability to do something or make something happen,Wind has the power to move a sailboat.
write,2,34,to make words or letters on a surface,Please write your name on the paper.
apply,2,34,to use something or put it into action,We apply what we learned to a new problem.
likable,2,35,pleasant and easy to like,The friendly character was likable.
acceptable,2,35,good enough or allowed,That answer is acceptable.
adorable,2,35,very cute and lovable,The puppy looked adorable.
chewable,2,35,able to be chewed,The vitamin came in a chewable tablet.
agreeable,2,35,pleasant or willing to agree,The warm weather was agreeable.
bearable,2,35,possible to accept or deal with even if unpleasant,The short wait was bearable.
usable,2,35,able to be used,The repaired bicycle is usable again.
comfortable,2,35,making you feel relaxed and not in pain,The chair was comfortable.
lovable,2,35,easy to love,The playful puppy was lovable.
sizable,2,35,fairly large,A sizable crowd came to the fair.
valuable,2,35,worth a lot or very useful,Water is a valuable resource.
prefix,2,35,letters added to the beginning of a word to change its meaning,The prefix un- can mean not.
suffix,2,35,letters added to the end of a word to change its form or meaning,The suffix -ful appears in hopeful.
compass,2,35,a tool that shows directions such as north and south,We used a compass to find north.
magnet,2,35,an object that attracts iron and some other metals,The magnet picked up a paper clip.
guide,2,35,a person or thing that shows the way or gives helpful directions,Our guide showed us around the museum.
addition,2,36,the math operation of putting numbers together to find a total,We used addition to find five plus three.
subtraction,2,36,the math operation of taking one number away from another,We used subtraction to find eight minus two.
fiction,2,36,a made-up story that is not presented as fact,The book is a work of fiction.
division,2,36,the math operation of separating a number into equal groups,We used division to share twelve blocks among three groups.
education,2,36,the process of teaching and learning,School is an important part of education.
recreation,2,36,an activity done for fun or relaxation,Swimming is a form of recreation.
confusion,2,36,the feeling of not understanding something clearly,The unclear directions caused confusion.
vacation,2,36,time away from school or work for rest or travel,We visited the beach during vacation.
location,2,36,the place where something is,The map shows our location.
explosion,2,36,a sudden release of energy that can cause a loud blast,We watched a safe science video about an explosion.
direction,2,36,"the way something points, faces, or moves",The arrow shows the direction to walk.
glass,2,36,"a hard, usually clear material used for windows and containers",The window is made of glass.
key,2,36,"a small tool used to open a lock, or something important for solving a problem",I used the key to open the door.
fig,2,36,"a small, soft fruit with many tiny seeds",We sliced a ripe fig for a snack.
context,2,36,the words or situation around something that help explain its meaning,The context helped me understand the new word.
detective,2,36,a person who investigates mysteries or crimes,The detective looked for clues.
high,3,1,far above the ground or greater than usual,The kite flew high in the sky.
every,3,1,"each one in a group, with none left out",Every student received a book.
near,3,1,close in distance or time,The school is near the park.
west,3,1,the direction where the sun appears to set,The sun sets in the west.
dress,3,1,"a one-piece item of clothing, or to put clothes on",She wore a blue dress.
best,3,1,better than all the others,This was her best drawing.
next,3,1,coming immediately after something,Read the next page.
else,3,1,other or in addition,Would you like anything else?
checked,3,1,looked at something to make sure it was correct or safe,I checked my answers twice.
grand,3,1,"large, impressive, or important",They entered a grand hall.
stand,3,1,to be upright on your feet,Please stand beside your desk.
punish,3,1,to give a consequence for breaking a rule,The rule says we should not punish someone unfairly.
monarch,3,1,a king or queen who rules a country,The monarch wore a crown.
migrate,3,1,"to move from one region to another, often with the seasons",Many birds migrate south for winter.
butterfly,3,1,"an insect with four broad, often colorful wings",A butterfly landed on the flower.
nectar,3,1,a sweet liquid made by flowers,The butterfly drank nectar from the flower.
between,3,2,in the space separating two people or things,The ball rolled between the chairs.
own,3,2,"belonging to a particular person, or to possess something",I have my own notebook.
base,3,2,the bottom or supporting part of something,The lamp has a wide base.
country,3,2,a nation with its own land and government,Canada is a country.
plant,3,2,a living thing that usually grows in soil and makes its own food from light,The plant grew toward the window.
slip,3,2,to slide by accident or lose your footing,Be careful not to slip on the wet floor.
lunch,3,2,the meal eaten around the middle of the day,We ate lunch at noon.
pond,3,2,a small body of still water,Frogs lived in the pond.
front,3,2,the part of something that faces forward,Meet me at the front of the building.
thump,3,2,"a heavy, dull sound or hit",The ball landed with a thump.
inches,3,2,units of length; twelve inches equal one foot,The ruler is twelve inches long.
yard,3,2,"a unit of length equal to three feet, or land beside a home",The rope is one yard long.
area,3,2,the amount of surface inside a shape or boundary,We found the area of the rectangle.
formula,3,2,a rule written with numbers or symbols for solving a problem,We used a formula to find the area.
width,3,2,the distance from one side of something to the other,We measured the width of the table.
calculate,3,2,to find an answer using math,Calculate the total before writing the answer.
save,3,3,to keep something for later or protect it from harm,I save part of my allowance.
school,3,3,a place where students learn,We walk to school each morning.
father,3,3,a male parent,Her father helped with the project.
keep,3,3,to continue to have or hold something,You may keep the book for a week.
safe,3,3,protected from danger or harm,Wear a helmet to stay safe.
grade,3,3,a level in school or a score showing quality,She is in third grade.
reached,3,3,arrived at or stretched far enough to touch something,We reached the top of the hill.
raise,3,3,to lift or move something upward,Raise your hand if you know the answer.
theme,3,3,the main idea or message in a story or work,Friendship is a theme of the story.
scream,3,3,"to make a very loud, high sound with the voice",The character let out a scream.
easy,3,3,not difficult,The first question was easy.
highway,3,3,a major road used for travel between places,Cars traveled along the highway.
navigate,3,3,to find and follow a route from one place to another,We used a map to navigate the trail.
ocean,3,3,a very large body of salt water,The whale lives in the ocean.
travel,3,3,to go from one place to another,We travel by train when we visit the city.
direction,3,3,"the way something points, faces, or moves",The arrow shows the direction to walk.
trade,3,4,to exchange one thing for another,The students trade cards with each other.
start,3,4,to begin,We start class at eight o'clock.
city,3,4,a large town where many people live and work,The city has many tall buildings.
earth,3,4,"the ground or soil, or the planet Earth",Seeds grow in the earth.
hope,3,4,to want something good to happen and think it may happen,I hope the weather stays sunny.
stone,3,4,a small piece of rock,A smooth stone lay beside the stream.
follow,3,4,to go after someone or do what instructions say,Follow the path to the playground.
broke,3,4,damaged something or made it stop working; past form of break,The toy broke when it fell.
sign,3,4,"a notice, symbol, or signal that gives information",The sign says to stop.
tiny,3,4,very small,A tiny ant crossed the table.
whole,3,4,all of something; complete,I ate the whole apple.
wave,3,4,"a moving rise of water, or a back-and-forth motion",A wave rolled toward the beach.
current,3,4,"a steady flow of water, air, or electricity",The river current moved the boat.
electric,3,4,using or related to electricity,The electric fan began to spin.
science,3,4,the study of the natural world through observation and testing,We did a science experiment.
round,3,4,shaped like a circle or ball,The plate is round.
upon,3,5,on or just after,The cat jumped upon the chair.
thought,3,5,"an idea in the mind, or past form of think",I had a thought about how to solve it.
gun,3,5,a weapon designed to fire a projectile,The museum displayed an old gun behind glass.
strong,3,5,having a lot of strength or able to resist force,The strong rope held the box.
story,3,5,"a description of events, real or imagined",We read a story about a dragon.
burst,3,5,to break open suddenly or happen with sudden force,The balloon may burst if it gets too full.
strip,3,5,"a long, narrow piece of something",Cut a strip of paper for the project.
stream,3,5,a small flowing body of water,We crossed the stream on a bridge.
street,3,5,a public road in a town or city,The library is across the street.
distance,3,5,the amount of space between two places or things,We measured the distance between the cones.
least,3,5,the smallest amount or number,This jar has the least water.
hundred,3,5,the number 100,There are one hundred cents in a dollar.
east,3,5,the direction where the sun appears to rise,The sun rises in the east.
zero,3,5,"the number 0, meaning none",Five minus five equals zero.
nothing,3,5,not anything,There was nothing inside the empty box.
amount,3,5,how much of something there is,We measured the amount of water.
cried,3,6,shed tears or called out loudly; past form of cry,The baby cried for a few minutes.
dried,3,6,became dry or made something dry; past form of dry,The wet clothes dried in the sun.
milk,3,6,a nutritious liquid produced by mammals and commonly used as a drink,She poured milk into her cereal.
let’s,3,6,let us,Let’s read the next chapter together.
while,3,6,"a period of time, or during the time that something happens",We read while we waited.
known,3,6,recognized or understood; a form of know,The author is known for adventure stories.
knife,3,6,a tool with a sharp blade used for cutting,An adult used a knife to slice the apple.
knock,3,6,to hit a surface to make a sound,Please knock before entering.
wrong,3,6,not correct or not right,"That answer is wrong, so try again."
knot,3,6,a fastening made by looping and tightening rope or string,Tie a knot in the rope.
wrinkle,3,6,"a small line or fold in skin, cloth, or paper",There was a wrinkle in the shirt.
wrap,3,6,"to cover or surround something with paper, cloth, or another material",Wrap the gift in paper.
wrist,3,6,the joint between the hand and arm,She wore a watch on her wrist.
knee,3,6,the joint in the middle of the leg,He bent his knee.
aloud,3,6,in a voice that can be heard,Please read the paragraph aloud.
express,3,6,to show or communicate a thought or feeling,We express our ideas in writing.
along,3,7,moving beside or following the length of something,We walked along the river.
bought,3,7,paid money to get something; past form of buy,She bought a notebook.
close,3,7,near in distance or time,The library is close to our school.
something,3,7,a thing that is not named exactly,I heard something outside the window.
seem,3,7,to appear to be a certain way,The puzzle may seem hard at first.
laughed,3,7,made sounds showing amusement; past form of laugh,We laughed at the funny joke.
lady,3,7,an adult woman,The lady held the door open.
enough,3,7,as much or as many as needed,We have enough chairs for everyone.
graph,3,7,a visual display that shows how numbers or amounts are related,We made a graph of our class survey.
paragraph,3,7,a group of sentences about one main idea,I wrote a paragraph about my pet.
photograph,3,7,a picture made with a camera,I took a photograph of the sunset.
history,3,7,the study or record of events from the past,We learned local history.
village,3,7,"a small community, usually smaller than a town",The village had one main road.
future,3,7,the time that has not happened yet,We talked about jobs we may have in the future.
hometown,3,7,the town or city where a person grew up or lives,She returned to her hometown.
settlers,3,7,people who move to a new place to live there,The settlers built homes near the river.
cloud,3,8,a visible mass of tiny water drops or ice crystals in the sky,A dark cloud moved overhead.
child,3,8,a young person,The child read a book.
open,3,8,"not closed, or to make something not closed",Please open the window.
example,3,8,something used to show what a rule or idea means,The teacher gave an example.
begin,3,8,to start,We begin the lesson after attendance.
chance,3,8,a possibility that something may happen,There is a chance of rain.
match,3,8,"a contest, or something that is the same as another",Our team won the match.
watch,3,8,to look at something carefully for a period of time,We watch the birds at the feeder.
batch,3,8,a group of things made or handled together,We baked a batch of cookies.
steel,3,8,a strong metal made mostly from iron,The bridge is made of steel.
speech,3,8,spoken words or a talk given to an audience,She gave a short speech.
source,3,8,the place or thing something comes from,The river's source is in the mountains.
material,3,8,a substance used to make something,Wood is a building material.
ditch,3,8,"a narrow channel dug in the ground, often for water",Rainwater flowed through the ditch.
women,3,8,more than one adult woman,The women worked together on the project.
iron,3,8,a strong metal element used in many tools and structures,The gate is made of iron.
can’t,3,9,cannot,I can’t reach the top shelf.
shall,3,9,will; used to say what is going to happen,We shall begin after lunch.
those,3,9,the people or things farther away,Those clouds look dark.
both,3,9,the two people or things together,Both answers are correct.
paper,3,9,thin material made from plant fibers and used for writing or printing,Write your name on the paper.
pushed,3,9,used force to move something away; past form of push,She pushed the door open.
sharp,3,9,having a thin edge or point that can cut or pierce,The pencil has a sharp point.
shock,3,9,a sudden surprise or strong reaction,The news came as a shock.
crash,3,9,"to hit something with force, often making a loud sound",The toy cars crash into each other.
showed,3,9,displayed or made something visible; past form of show,He showed us his drawing.
shoes,3,9,coverings worn on the feet,My shoes were muddy.
shoulder,3,9,the body part where the arm joins the upper body,She carried the bag on her shoulder.
product,3,9,"the result of multiplication, or something made for sale",The product of three and four is twelve.
quotient,3,9,the answer to a division problem,The quotient of twelve divided by three is four.
multiplication,3,9,a math operation that combines equal groups,We used multiplication to find four groups of three.
division,3,9,the math operation of separating a number into equal groups,We used division to share twelve blocks among three groups.
together,3,10,with one another,We worked together on the puzzle.
tied,3,10,fastened with a knot or string,She tied her shoes before recess.
group,3,10,a number of people or things together,A group of students worked together.
often,3,10,many times,We often read after dinner.
table,3,10,a piece of furniture with a flat top,We ate lunch at the table.
space,3,10,an empty area or place,Leave some space between the boxes.
fence,3,10,a barrier around an area,A wooden fence surrounds the garden.
price,3,10,the amount of money something costs,The price of the book is five dollars.
office,3,10,a place where people work,The principal is in the school office.
police,3,10,people whose job is to enforce laws and keep others safe,The police helped direct traffic.
pencil,3,10,a tool used for writing or drawing,I sharpened my pencil before class.
civil,3,10,polite and respectful,The students had a civil discussion.
tribal,3,10,relating to a tribe or group of people with shared traditions,The museum displayed tribal artwork.
buffalo,3,10,a large animal with horns and a heavy body,The buffalo grazed on the grass.
dance,3,10,to move your body to music,We learned a new dance in music class.
plains,3,10,large areas of mostly flat land,Tall grasses grow across the plains.
important,3,11,having great value or meaning,It is important to wear a seat belt.
cannot,3,11,is not able to,A fish cannot live out of water for long.
children,3,11,more than one child,The children played on the playground.
wife,3,11,a married woman in relation to her spouse,His wife waved from the doorway.
gentle,3,11,"kind, calm, and not rough",Use a gentle touch with the small plant.
giraffe,3,11,a tall African animal with a very long neck,The giraffe reached leaves high in the tree.
hoe,3,11,a garden tool used to loosen soil or remove weeds,Dad used a hoe in the vegetable garden.
stage,3,11,a step or period in a process,The caterpillar is one stage of a butterfly's life cycle.
engine,3,11,a machine that provides power to make something move,The car engine started quietly.
badge,3,11,a small sign or symbol worn to show a role or achievement,She earned a reading badge.
ginger,3,11,a plant root used to flavor food,A little ginger gave the soup extra flavor.
arctic,3,11,relating to the very cold region around the North Pole,Polar bears live in the Arctic.
adapt,3,11,to change so something works better in a new situation,Animals adapt to changes in their environment.
tundra,3,11,"a cold, treeless region where the ground stays frozen for much of the year",Moss and small plants grow on the tundra.
behavior,3,11,the way a person or animal acts,Kind behavior helps everyone feel welcome.
pelt,3,11,the skin and fur of an animal,The animal’s thick pelt helps keep it warm.
held,3,12,past tense of hold; kept or carried something,She held the door open for her friend.
cross,3,12,to go from one side to the other,We waited for the signal before we crossed the street.
night,3,12,the dark part of the day after sunset,The stars were bright at night.
walk,3,12,to move on foot,We walk to the park after dinner.
picked,3,12,chose or gathered something,He picked a red apple from the tree.
choice,3,12,a decision between two or more possibilities,You have a choice of juice or milk.
voice,3,12,the sound a person makes when speaking or singing,Her voice was easy to hear.
royal,3,12,"relating to a king, queen, or their family",The royal family lived in the palace.
annoy,3,12,to bother or irritate someone,The buzzing fly began to annoy me.
noise,3,12,"a sound, especially one that is loud or unwanted",We heard a strange noise outside.
tomato,3,12,a soft red fruit often used as a vegetable in cooking,We sliced a tomato for the sandwich.
potato,3,12,a round underground vegetable with a starchy inside,She baked a potato for dinner.
citrus,3,12,"fruit such as oranges, lemons, and limes",Oranges are a type of citrus fruit.
nutrients,3,12,substances in food that help living things grow and stay healthy,Vegetables provide many useful nutrients.
vitamins,3,12,nutrients the body needs in small amounts to stay healthy,Fruit contains many vitamins.
vegetable,3,12,a plant or part of a plant eaten as food,Carrots are my favorite vegetable.
sea,3,13,a large body of salt water,We saw boats sailing on the sea.
began,3,13,past tense of begin; started,The movie began at seven o’clock.
shouted,3,13,spoke or called very loudly,She shouted to her friend across the field.
took,3,13,"past tense of take; carried, received, or moved something",He took his backpack to school.
river,3,13,a large natural stream of flowing water,The river flows toward the ocean.
crown,3,13,a special headpiece worn by a king or queen,The queen wore a golden crown.
however,3,13,but; used to show a contrast,"The sky was cloudy; however, it did not rain."
around,3,13,on every side of or in a circle near something,We sat around the campfire.
growl,3,13,"a low, rough sound made by an animal",We heard the dog growl softly.
fountain,3,13,a structure that sends water into the air,Coins sparkled at the bottom of the fountain.
ground,3,13,the surface of the earth,Leaves covered the ground.
pounds,3,13,units used to measure weight,The bag weighs ten pounds.
account,3,13,a record used to keep track of money or information,She checked the balance in her savings account.
drought,3,13,a long period with very little rain,The drought made the soil dry.
remainder,3,13,the amount left over after dividing or taking some away,Ten divided by three has a remainder of one.
object,3,13,a thing that can be seen or touched,The teacher placed an object on the table.
sleep,3,14,to rest with your eyes closed and your body mostly inactive,Most people sleep at night.
carry,3,14,to hold and move something from one place to another,Please carry the books to the shelf.
north,3,14,the direction opposite south,We drove north toward the mountains.
once,3,14,one time,I saw a deer once.
book,3,14,a set of written or printed pages bound together,I borrowed a mystery book from the library.
crawl,3,14,to move slowly on hands and knees or close to the ground,The baby began to crawl across the rug.
laundry,3,14,clothes and other fabric items that need washing or have been washed,We folded the clean laundry.
author,3,14,"a person who writes a book, story, or other work",The author signed my copy of the book.
taught,3,14,past tense of teach; helped someone learn,Our teacher taught us how to multiply.
pause,3,14,to stop for a short time,Pause the video so I can take notes.
dawn,3,14,the time in the morning when daylight first appears,Birds began singing at dawn.
folklore,3,14,traditional stories and beliefs passed down through generations,The class read folklore from several cultures.
custom,3,14,a traditional way of doing something,Sharing this meal is a family custom.
disappear,3,14,to stop being visible or present,The rainbow began to disappear.
willow,3,14,"a tree with long, narrow leaves and flexible branches",A willow grew beside the pond.
traditional,3,14,following customs or ways that have been used for a long time,They cooked a traditional family recipe.
south,3,15,the direction opposite north,The birds flew south for the winter.
sir,3,15,a polite way to address a man,"Yes, sir, I understand."
without,3,15,not having or using something,We went outside without our coats.
second,3,15,a unit of time equal to one sixtieth of a minute,The light flashed for one second.
birds,3,15,more than one bird,Several birds landed on the fence.
loose,3,15,not tight or firmly fixed,One shoelace was loose.
choose,3,15,to decide which person or thing you want,Choose one book to take home.
shook,3,15,past tense of shake; moved quickly back and forth,He shook the bottle before opening it.
understood,3,15,past tense of understand; knew what something meant,I understood the directions after the example.
balloon,3,15,a thin rubber bag that can be filled with air or gas,The red balloon floated near the ceiling.
looked,3,15,used your eyes to see or examine something,She looked both ways before crossing.
moose,3,15,a very large deer with broad antlers,A moose stood near the edge of the forest.
wheel,3,15,a round part that turns and helps a vehicle or machine move,The bicycle wheel spun quickly.
season,3,15,"one of the four parts of the year: spring, summer, fall, or winter",Fall is my favorite season.
axle,3,15,a rod that connects or supports turning wheels,The wheels turn around the axle.
momentum,3,15,the motion an object has because it is moving,The rolling ball gained momentum down the hill.
miss,3,16,"to fail to hit, reach, catch, or experience something",Hurry so we do not miss the bus.
idea,3,16,"a thought, plan, or suggestion",Maya had an idea for the science project.
copy,3,16,to make something the same as another,Copy the sentence into your notebook.
poor,3,16,having little money or not enough of something,The poor soil made it hard for plants to grow.
floor,3,16,the surface you walk on inside a room,The toy rolled across the floor.
started,3,16,began doing or happening,We started our homework after dinner.
stars,3,16,bright objects seen in the night sky that produce their own light,Many stars were visible on the clear night.
carpet,3,16,a thick fabric covering for a floor,We sat on the carpet during story time.
marker,3,16,a pen with a broad felt tip,Use a blue marker for the title.
party,3,16,a gathering where people celebrate or have fun,We had a birthday party after school.
pardon,3,16,to forgive or excuse someone,Please pardon me for interrupting.
lunar,3,16,relating to the moon,A lunar eclipse happens when Earth’s shadow falls on the moon.
cycle,3,16,a set of events that repeats in the same order,We learned about the water cycle.
appearance,3,16,the way someone or something looks,The caterpillar changes its appearance as it becomes a butterfly.
quarter,3,16,one of four equal parts,A quarter of the pizza is two slices.
phase,3,16,a stage in a process or cycle,The moon changes phase during the month.
among,3,17,in the middle of or included with several things,The red marble was among the blue ones.
buy,3,17,to get something by paying money for it,We will buy bread at the store.
fairy,3,17,a tiny magical being in traditional stories,The story was about a fairy in an enchanted forest.
real,3,17,actually existing or true,"The fossil is real, not a copy."
almost,3,17,very nearly but not completely,We are almost finished.
stairs,3,17,a set of steps used to move between levels,We walked up the stairs.
glare,3,17,a very bright light that makes it hard to see,The sun’s glare reflected off the water.
airplane,3,17,a powered vehicle with wings that flies through the air,The airplane flew above the clouds.
airy,3,17,"open, light, and full of fresh air",The large windows made the room feel airy.
repair,3,17,to fix something that is damaged or broken,We need to repair the torn backpack.
