Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence,Set
After,Sequence Words,Happening later than something else,later next,K,medium,We play outside after rest time.,24
During,Sequence Words,Happening while something else is happening,while through,1,medium,During story time we sit on the rug.,24
Until,Sequence Words,Up to a certain time,before then,1,medium,Wait until the light turns green.,24
Sequence,Sequence Words,The order that things happen,order pattern,1,hard,The pictures show the sequence of a butterfly growing.,24
Step,Sequence Words,One part of a process,part stage,K,medium,The first step is to write your name.,24
Routine,Sequence Words,Something you do the same way often,habit schedule,K,medium,Our morning routine starts with unpacking.,24
Predict,Learning & Research,To make a smart guess about what might happen,guess forecast,K,medium,I predict the tower will fall if it gets too tall.,24
Compare,Learning & Research,To see how things are alike,match alike,K,medium,Compare the two shells to find a match.,24
Discover,Learning & Research,To find something new,find learn,K,medium,We discover a ladybug on the leaf.,24
Reason,Thinking & Reasoning,Why something happened or why you think something,cause explanation,1,medium,The reason I chose boots is the rain.,25
Result,Thinking & Reasoning,What happens because of an action,outcome effect,1,medium,The result of watering the seed was a sprout.,25
Cause,Thinking & Reasoning,Something that makes another thing happen,reason source,1,medium,The cause of the noise was a barking dog.,25
Effect,Thinking & Reasoning,What happens because of a cause,result outcome,1,medium,The effect of soap was clean hands.,25
Similar,Thinking & Reasoning,Alike in some way,alike same,K,medium,These socks are similar because both are striped.,25
Different,Thinking & Reasoning,Not the same,unlike separate,K,medium,The two keys are different sizes.,25
Pattern,Thinking & Reasoning,Something that repeats or follows an order,repeat sequence,K,medium,The beads make a red blue red blue pattern.,25
Mistake,Progress & Learning,Something wrong that helps you learn,error wrong,K,medium,A mistake can help you learn.,25
Careless,Progress & Learning,Not careful enough,rushed sloppy,1,medium,A careless spill can make the floor slippery.,25
Strategy,Thinking & Reasoning,A plan for how to do something,plan method,1,hard,My strategy is to count by tens.,25
Accurate,Thinking & Reasoning,Correct and careful,correct exact,1,hard,An accurate answer matches the facts.,26
Likely,Thinking & Reasoning,Probably going to happen,probable expected,1,hard,It is likely to rain when dark clouds gather.,26
Unlikely,Thinking & Reasoning,Probably not going to happen,not expected,1,hard,Snow is unlikely on a hot summer day.,26
Certain,Thinking & Reasoning,Known for sure,sure definite,1,hard,I am certain this is my lunchbox.,26
Appropriate,Thinking & Reasoning,Fitting the situation or rule,proper right,1,hard,Quiet voices are appropriate in the library.,26
Private,Communication & Discussion,Only for you or a small group,personal not shared,1,hard,A diary can be private.,26
Public,Communication & Discussion,For everyone or in front of others,shared open,1,hard,A park is public because everyone may use it.,26
Independent,Progress & Learning,Able to do something by yourself,on your own self-reliant,1,medium,An independent reader can choose a book alone.,26
Persistent,Progress & Learning,Keeping trying even when something is hard,determined steady,1,hard,A persistent builder keeps fixing the tower.,26
Flexible,Thinking & Reasoning,Able to change plans or try a different way,adaptable bendable,1,hard,A flexible plan can change when it rains.,26
Healthy,Scientific Thinking,Strong and well in your body or mind,well strong,K,medium,Healthy foods help your body grow.,27
Unhealthy,Scientific Thinking,Not good for your body or mind,harmful not well,K,medium,Too much candy can be unhealthy for teeth.,27
Painful,Feelings & Emotions,Causing hurt in your body or feelings,hurting sore,K,medium,A scraped knee can feel painful.,27
Protect,Scientific Thinking,To keep someone or something safe,guard defend,K,medium,Sunscreen can protect skin from the sun.,27
Emergency,Instructional Language,A serious problem that needs help right away,urgent danger,K,hard,A fire drill helps us practice for an emergency.,27
Investigate,Learning & Research,To look carefully to find answers,explore examine,1,hard,We investigate the tracks in the mud.,27
Evidence,Learning & Research,A clue that helps show what is true,clue proof,1,hard,The broken twig was evidence of an animal nearby.,27
Review,Progress & Learning,To look at something again,look again practice,1,medium,Review your drawing before adding color.,27
Reflect,Progress & Learning,To think about what happened and what you learned,think back consider,1,hard,I reflect on how I solved the problem.,27
Progress,Progress & Learning,Getting better little by little,improvement growth,1,medium,My reading progress improved this month.,27
Neighbor,Communication & Discussion,A person who lives near you,nearby person,K,medium,Our neighbor waves from the porch.,28
Community,Communication & Discussion,A group of people who live learn or work together,group neighborhood,1,medium,The school community helps each other.,28
Team,Communication & Discussion,A group working together,group partners,K,medium,Our team scored a goal together.,28
Partner,Communication & Discussion,A person you work with,teammate helper,K,medium,My partner helped me carry the blocks.,28
Audience,Communication & Discussion,The people who listen or watch,listeners viewers,1,medium,The audience clapped after the song.,28
Leader,Communication & Discussion,A person who guides a group,guide captain,K,medium,The leader showed the group where to stand.,28
Member,Communication & Discussion,A person who belongs to a group,part participant,K,medium,Each member of the club has a job.,28
Participate,Communication & Discussion,To take part in an activity,join take part,1,medium,I participate by joining the class song.,28
Compromise,Communication & Discussion,An agreement where each person gives a little,agreement meet halfway,1,hard,A compromise lets both friends choose a game.,28
Refuse,Communication & Discussion,To say no to something,decline say no,1,medium,I refuse candy from someone I do not know.,28
Describe,Learning & Research,To tell what something is like using details,explain tell,1,medium,Describe the puppy using three details.,29
Explain,Learning & Research,To make an idea easier to understand,clarify tell,1,medium,Explain how you built the bridge.,29
Identify,Learning & Research,To find and name something,recognize name,1,medium,Identify the animal in the picture.,29
Classify,Instructional Language,To sort things into groups,categorize sort,2,hard,Classify the buttons by shape.,29
Estimate,Mathematics,To make a close guess,approximate guess,1,medium,Estimate how many beans are in the jar.,29
Measure,Mathematics,To find the size or amount of something,size check,1,medium,Measure the ribbon with a ruler.,29
Organize,Instructional Language,To arrange things in a useful order,arrange sort,1,medium,Organize the books by size.,29
Record,Instructional Language,To write down or save information,document note,1,medium,Record the score on the chart.,29
Summarize,Communication & Discussion,To tell the most important parts in a short way,recap shorten,2,hard,Summarize the story for a friend.,29
Support,Communication & Discussion,To give help reasons or evidence,help back up,2,hard,Support your idea with one detail.,29
Analyze,Learning & Research,To look closely at parts to understand the whole,examine study,2,hard,Analyze the pattern to find what comes next.,30
Conclude,Learning & Research,To decide something after thinking about evidence,decide determine,2,hard,Conclude what happened after reading the clues.,30
Evaluate,Learning & Research,To decide how good useful or correct something is,judge assess,2,hard,Evaluate which tool worked best.,30
Infer,Learning & Research,To use clues to figure something out,deduce conclude,2,hard,Infer how the character feels from the picture.,30
Justify,Thinking & Reasoning,To explain why your answer or choice makes sense,defend support,2,hard,Justify your answer with a reason.,30
Elaborate,Communication & Discussion,To add more details,explain more expand,2,hard,Elaborate by adding one more detail.,30
Persuade,Communication & Discussion,To try to convince someone,convince influence,2,hard,Persuade your friend with kind reasons.,30
Purpose,Thinking & Reasoning,The reason something is done or made,reason goal,2,medium,The purpose of a map is to show places.,30
Method,Thinking & Reasoning,A way of doing something,way process,2,medium,This method helps me solve addition facts.,30
Process,Thinking & Reasoning,A set of steps used to do something,steps method,2,medium,The process for washing hands has several steps.,30
Trace,Instructional Language,To follow the edge or line of something with your finger pencil or eyes,follow outline,K,medium,Trace the dotted line with your pencil.,31
Outline,Reading & Writing,The outside edge of a shape or a plan for writing,edge plan,1,medium,The outline shows the shape of the leaf.,31
Convince,Communication & Discussion,To help someone believe or agree with your idea,persuade influence,2,medium,The poster may convince people to recycle.,31
Valid,Thinking & Reasoning,Reasonable or supported by good evidence,sound acceptable,3,hard,A valid reason is supported by facts.,31
Invalid,Thinking & Reasoning,Not reasonable or not supported by good evidence,wrong unsupported,3,hard,An invalid answer does not fit the evidence.,31
Categorize,Instructional Language,To put things into groups based on what they have in common,classify sort,2,medium,Categorize the pictures into animal groups.,31
Protein,Health & Nutrition,A nutrient that helps your body grow and repair itself,nutrient food,2,medium,Beans have protein that helps bodies grow.,31
Dairy,Health & Nutrition,Foods made from milk such as yogurt cheese or milk,milk foods,1,medium,Milk and yogurt are dairy foods.,31
Serving,Health & Nutrition,An amount of food for one person or one time,portion amount,1,medium,One serving of cereal fills the small bowl.,31
Subject,Reading & Writing,The person place thing or idea a sentence or lesson is mostly about,topic focus,2,medium,The subject of the sentence is the dog.,31
Height,Mathematics,How tall something is,tallness measurement,1,medium,The height of the tower is ten blocks.,32
Width,Mathematics,How wide something is from side to side,wide measurement,1,medium,The width of the rug is six feet.,32
Length,Mathematics,How long something is from end to end,long measurement,1,medium,The length of the pencil is seven inches.,32
Weight,Mathematics,How heavy something is,heaviness measurement,1,medium,The weight of the bag made it hard to lift.,32
Duration,Mathematics,How long something lasts,amount of time,2,medium,The movie's duration is one hour.,32
Substitute,Instructional Language,To use one thing or person in place of another,replace alternate,2,medium,We substitute applesauce for oil in the recipe.,32
Alternate,Instructional Language,To switch back and forth or take turns,take turns rotate,2,medium,The teams alternate turns at the game.,32
Rotate,Instructional Language,To turn around a center point or take turns in order,turn alternate,2,medium,Rotate the shape until it matches the picture.,32
Contradict,Thinking & Reasoning,To say the opposite of something or show that it cannot both be true,oppose conflict,3,hard,His statement contradicts what the chart shows.,32
Suspicious,Thinking & Reasoning,Feeling that something may be wrong unsafe or not true,doubtful wary,2,hard,The suspicious noise made the dog bark.,32
Probable,Thinking & Reasoning,Likely to happen or likely to be true,likely expected,3,hard,It is probable that the sun will rise tomorrow.,33
Rare,Thinking & Reasoning,Not happening often or not found often,uncommon unusual,2,medium,A rare bird visited the feeder.,33
Context Clues,Reading & Writing,Words or sentences nearby that help you understand an unfamiliar word,clues meaning,2,hard,Context clues helped me understand the new word.,33
